O Père, O Tout-Puissant	GODARD Marcel	22		français	Trinité 			SATB		Extrait des Combats de dieu			22			
Salut, ô Reine	GODARD  Marcel	22		français		chant marial		S					22			
Toi,notre Dame	WACKENHEIM	22		français	Chant marial		V 153	SATB					22			
Très-Haut Seigneur, Trinité bienheureuse	GOUZES A.	22		français	Trinité 		SY Z 700	SATB					22			
Auxilium Christianorum	DELSINNE	23		latin				3VE					23		litanies	
Ave verum	DUPRE, Marcel	23		latin				SATB		Motet au St Sacrement			23			
Ave Verum grégorien	ANONYME	23	grégorien					Unisson		Motet au St Sacrement			23			
Ave Verum	MOZART Wolfgang Amadeus	24		latin				SATB/SSA		Motet au St Sacrement			24			
Ave Verum (version quatuor) k618	MOZART Wolfgang Amadeus	24		latin				SATB		Motet au St Sacrement			24			
Gloria de Angelis =des Anges	ANONYME	25		latin		Gloria		U/VE/VM					25			
Kyrie XII (Pater Cuncta) grégorien	ANONYME	25	grégorien			Kyrie		Unisson					25			
Tu es Petrus	BACH Johann Sebastian	25		latin				SATB					25			
Ave Verum Corpus	JOSQUIN DES PRES	26		latin				SABar		Motet au St Sacrement			26			
Processionnal de Saint Benigne de Dijon	SAMSON Joseph	26		français				Unisson		Procession d'entrée			26			
Ecoutez la voix des anges	MENDELSSOHN	27		français	Noël			SA					27			
La prière du Pâtre	J.B.	27		français				SATB			chanson française		27			
Amour qui nous attends	TAMIE	28		français	Avent	Tropaire	E173-1	Unisson					28			
Joyeuse est la terre	TAMIE	28		français	Dimanche ap.Asc	Tropaire	K146-1	Unisson					28			
Ijé Khérouvimy	BORTNIANSKY, Dimitrij	29		russe	Trinité			SATB					29			
Nynié Otpouchtchaiéchy	LIRINE	29		russe				SATB		Cantique de Siméon russe			29			
Snami Bog	ANONYME	29		bulgare				SATB		chant orthodoxe russe		XIX	29			Dieu est avec nous
Offertoire pour la fête de Ste Clothilde	FRANCK César	30		latin		Offertoire		STB				XX	30		orgue	
Offertoire pour les 1° dimanches du mois	FRANCK César	30		latin		Offertoire		STB				XX	30			
Offertoirepour les fêtes de l'Assomption	FRANCK César	30		latin	Assomption	Offertoire		TB				XX	30			
Offertorium	BRUCKNER	30		latin		Offertoire		SATB				XIX	30			
Super Flumina Babylonis (psaume 136)	VAN NUFFEL	30		latin		Psaume 136		SATB					30		opus 25	
Domine non secundum	FRANCK Cesar	31		latin	Pénitence			STB/SATB		chant sacré		XX	31		orgue	
Gaude Mater	BARTOLLUCCI	32		latin	chant marial			SSA				XX	32		piano	
Gaudete	ANONYME	32		latin	Noël			4VM					32			
O Maria	BERTOLUCCI	32		latin	chant marial			Solo+1V				XX	32		 piano	
Ottchié nach	TCHAIKOWSKY	32		russe		Notre Père 		SATB				XIX	32			
Ottchié nach 	RIMSKY KORSAKOV	32		russe		Notre Père		SATB				XIX	32		opus 22n°7	
Lumière du monde	GODARD Marcel	33		français	Pâques		I 77-3	Unisson				XX	33			
Diffusa est gratia	SPERLING Oliver	34		latin		Offertoire Ps 44		SSAetSATB				XX	34			
Magnificat	PEETERS Flor	34		latin		Magnificat		SATB				XX	34		opus 108	
Surrexit pastor bonus	MENDELSSOHN	35		latin				SSAA		Motet		XIX	35		opus 39n°3 orgue	
Au Christ - eucharistie	BACH, Johann Sebastian	36		français		Communion		SATB				XVIII	36			
Beati qui habitant in domo tua	RAMEAU	36		latin				BYR et SATB		Motet au St Sacrement		XVIII	36			
Gloire à Dieu 	MOUSSORGSKY	36		français		Gloria		SATB				XIX	36			
Loué soit ton nom, vrai Dieu	GOUDIMEL	36		français	Louange			SATB				XVI	36			
Notre Père	RIMSKY KORSAKOV	37		français		Notre Père		SATB				XIX	37			
Hymne acathiste tradition slave		38		français			VP46-52	SATB		Tradition slave			38			
O Jesu Christe	VAN BERCHEM	38		latin	Carême			SATB				XVI	38			O Seigneur prends pitié de moi
Jésus sauveur, kyrie eleison	DANIEL Etienne	39		français		Kyrie		Unisson					39			
Ma lumière et mon salut	VILLENEUVE, Ch.	39		français		Psaume 26	ZL14-76	SATB					39			
Agneau de Dieu AL145	LECOT/Mozart	40		français		Agnus Dei		SATB					40			
Agneau de Dieu, conduis nos pas	TARENTE de Olivier	40		français		Agnus Dei	I 310	SATB					40			
Agneau de Dieu, pauvre de Dieu	Akepsimas Jo	40		français		Agnus Dei		SATB					40			
Agnus Dei de Pentecôte	ANONYME	40		latin	Pentecôte	Agnus Dei		SATB					40			
Cette parole de l'écriture	LEFEBVRE Georges	40		français	Pentecôte			Unisson					40			
