"Alleluia letton ""Alle Jahre wieder"""	ANONYME	13		allemand		Alleluia		3VE					13					0	VRAI
Aube nouvelle	AKEPSIMAS	14		français	Avent		E 130	SATB					14					0	VRAI
Le monde ancien s'en est allé	GELINEAU J.	14		français	Avent	Entrée	E 135	SATB					14					0	VRAI
Psaume de la création	RICHARD Patrick	14		français		psaume de la création		Sol+SATB					14					0	VRAI
Viens Seigneur ne tarde plus	GOUZES	14		français	Avent			SATB				XX	14					0	VRAI
Gaude Mater Polonia	ANONYME	15		latin				SATB		chant marial		XIII	15					0	VRAI
Humble servante	BERTHIER Jacques	15		français	Chant marial		V248-1	SATB					15					0	VRAI
Notre Dame Lumière	ANONYME	15		français 	Chant marial Tchèque			Unisson					15		D'après Tece Voda Tece			0	VRAI
Messe en D (ré) 	DVORAK Antonin	16		latin		Kyrie et Gloria		SATB					16					0	VRAI
Agneau de Pâques, Agneau de Dieu	BERTHIER, Jacques	17		français	Pâques	Agnus Dei		SATB				XX	17					0	VRAI
Christus factus est	HAYDN Michael	17		latin	Jeudi saint	Graduel		4VM		Motet			17					0	VRAI
Kyrie , Jésus de Nazareth 	BERTHIER Jacques	17		français		Kyrie		SATB					17					0	VRAI
"Motets pour le temps de Carême:""Vinae mea electa"""	POULENC Francis	17		latin	Carême			SAATBB		Motet		XX	17					0	VRAI
Vinea mea electa 	POULENC	17		latin	Carême			SAATBB		Motet (pr le tps de Pénitence)		XX	17		ac. Piano			0	VRAI
Entre le boeuf et l'âne gris	ANONYME	18		français	Noël			SS/AA				XIII	18		harmJ.Bouvard			0	VRAI
Les anges dans nos campagnes	DAMON	18		français	Noël			SATB					18					0	VRAI
Les anges dans nos campagnes	SALA	18		français	Noël			SSA					18					0	VRAI
Les anges dans nos campagnes 	NEYRAT	18		français	 Noël languedocien			SATB					18					0	VRAI
Silence,ciel	SALA André	18		français	Noël			SSA					18					0	VRAI
Die zwei Tugendwege	SCHILLER	19		allemand				TTB		Les 2 voies de la vertu			19					0	VRAI
Jacob's ladder	ANONYME	19		anglais				3VE			Negro spiritual		19					0	VRAI
La mémoire d'Abraham	GOLDMAN Jean-Jacques	19		français				SATB			chant 		19		harmH.Dumas			0	VRAI
Little David	ANONYME	19		anglais/français				3VE			Negro spiritual		19					0	VRAI
Hodie Christus natus est	POULENC	20		latin	Noël			SATB					20					0	VRAI
O magnum mysterium	POULENC	20		latin	Noël			SATB					20					0	VRAI
Symphonie Nr.3	MAHLER, Gustav	21		allemand						chœur n°5 		XIX	21					0	VRAI
Alta trinita beata	ANONYME	22		latin	Trinité 			SATB				XV	22					0	VRAI
Lo ti voria contar	DE LASSUS, Orlandus	22		italien				SATB			chanson italienne		22					0	VRAI
O Père, O Tout-Puissant	GODARD Marcel	22		français	Trinité 			SATB		Extrait des Combats de dieu			22					0	VRAI
Salut, ô Reine	GODARD  Marcel	22		français		chant marial		S					22					0	VRAI
Toi,notre Dame	WACKENHEIM	22		français	Chant marial		V 153	SATB					22					0	VRAI
Très-Haut Seigneur, Trinité bienheureuse	GOUZES A.	22		français	Trinité 		SY Z 700	SATB					22					0	VRAI
Auxilium Christianorum	DELSINNE	23		latin				3VE					23		litanies			0	VRAI
Ave verum	DUPRE, Marcel	23		latin				SATB		Motet au St Sacrement			23					0	VRAI
Ave Verum grégorien	ANONYME	23	grégorien					Unisson		Motet au St Sacrement			23					0	VRAI
Ave Verum	MOZART Wolfgang Amadeus	24		latin				SATB/SSA		Motet au St Sacrement			24					0	VRAI
Ave Verum (version quatuor) k618	MOZART Wolfgang Amadeus	24		latin				SATB		Motet au St Sacrement			24					0	VRAI
Gloria de Angelis =des Anges	ANONYME	25		latin		Gloria		U/VE/VM					25					0	VRAI
Kyrie XII (Pater Cuncta) grégorien	ANONYME	25	grégorien			Kyrie		Unisson					25					0	VRAI
Tu es Petrus	BACH Johann Sebastian	25		latin				SATB					25					0	VRAI
Ave Verum Corpus	JOSQUIN DES PRES	26		latin				SABar		Motet au St Sacrement			26					0	VRAI
Processionnal de Saint Benigne de Dijon	SAMSON Joseph	26		français				Unisson		Procession d'entrée			26					0	VRAI
Ecoutez la voix des anges	MENDELSSOHN	27		français	Noël			SA					27					0	VRAI
La prière du Pâtre	J.B.	27		français				SATB			chanson française		27					0	VRAI
Amour qui nous attends	TAMIE	28		français	Avent	Tropaire	E173-1	Unisson					28					0	VRAI
Joyeuse est la terre	TAMIE	28		français	Dimanche ap.Asc	Tropaire	K146-1	Unisson					28					0	VRAI
Ijé Khérouvimy	BORTNIANSKY, Dimitrij	29		russe	Trinité			SATB					29					0	VRAI
Nynié Otpouchtchaiéchy	LIRINE	29		russe				SATB		Cantique de Siméon russe			29					0	VRAI
Snami Bog	ANONYME	29		bulgare				SATB		chant orthodoxe russe		XIX	29			Dieu est avec nous		0	VRAI
Offertoire pour la fête de Ste Clothilde	FRANCK César	30		latin		Offertoire		STB				XX	30		orgue			0	VRAI
Offertoire pour les 1° dimanches du mois	FRANCK César	30		latin		Offertoire		STB				XX	30					0	VRAI
Offertoirepour les fêtes de l'Assomption	FRANCK César	30		latin	Assomption	Offertoire		TB				XX	30					0	VRAI
Offertorium	BRUCKNER	30		latin		Offertoire		SATB				XIX	30					0	VRAI
Super Flumina Babylonis (psaume 136)	VAN NUFFEL	30		latin		Psaume 136		SATB					30		opus 25			0	VRAI
Domine non secundum	FRANCK Cesar	31		latin	Pénitence			STB/SATB		chant sacré		XX	31		orgue			0	VRAI
Gaude Mater	BARTOLLUCCI	32		latin	chant marial			SSA				XX	32		piano			0	VRAI
Gaudete	ANONYME	32		latin	Noël			4VM					32					0	VRAI
O Maria	BERTOLUCCI	32		latin	chant marial			Solo+1V				XX	32		 piano			0	VRAI
Ottchié nach	TCHAIKOWSKY	32		russe		Notre Père 		SATB				XIX	32					0	VRAI
Ottchié nach 	RIMSKY KORSAKOV	32		russe		Notre Père		SATB				XIX	32		opus 22n°7			0	VRAI
Lumière du monde	GODARD Marcel	33		français	Pâques		I 77-3	Unisson				XX	33					0	VRAI
Diffusa est gratia	SPERLING Oliver	34		latin		Offertoire Ps 44		SSAetSATB				XX	34					0	VRAI
Magnificat	PEETERS Flor	34		latin		Magnificat		SATB				XX	34		opus 108			0	VRAI
Surrexit pastor bonus	MENDELSSOHN	35		latin				SSAA		Motet		XIX	35		opus 39n°3 orgue			0	VRAI
Au Christ - eucharistie	BACH, Johann Sebastian	36		français		Communion		SATB				XVIII	36					0	VRAI
Beati qui habitant in domo tua	RAMEAU	36		latin				BYR et SATB		Motet au St Sacrement		XVIII	36					0	VRAI
Gloire à Dieu 	MOUSSORGSKY	36		français		Gloria		SATB				XIX	36					0	VRAI
Loué soit ton nom, vrai Dieu	GOUDIMEL	36		français	Louange			SATB				XVI	36					0	VRAI
Notre Père	RIMSKY KORSAKOV	37		français		Notre Père		SATB				XIX	37					0	VRAI
Hymne acathiste tradition slave		38		français			VP46-52	SATB		Tradition slave			38					0	VRAI
O Jesu Christe	VAN BERCHEM	38		latin	Carême			SATB				XVI	38			O Seigneur prends pitié de moi		0	VRAI
Jésus sauveur, kyrie eleison	DANIEL Etienne	39		français		Kyrie		Unisson					39					0	VRAI
Ma lumière et mon salut	VILLENEUVE, Ch.	39		français		Psaume 26	ZL14-76	SATB					39					0	VRAI
Agneau de Dieu AL145	LECOT/Mozart	40		français		Agnus Dei		SATB					40					0	VRAI
Agneau de Dieu, conduis nos pas	TARENTE de Olivier	40		français		Agnus Dei	I 310	SATB					40					0	VRAI
Agneau de Dieu, pauvre de Dieu	AKEPSIMAS	40		français		Agnus Dei		SATB					40					0	VRAI
Agnus Dei de Pentecôte	ANONYME	40		latin	Pentecôte	Agnus Dei		SATB					40					0	VRAI
Cette parole de l'écriture	LEFEBVRE Georges	40		français	Pentecôte			Unisson					40					0	VRAI
Tochter Zion, freue dich	HAENDEL	40		allemand	Avent			SATB		Hymne de l'Avent		XVIII	40					0	VRAI
O Haupt voll Blut und Wunden 	MENDELSSOHN	41		allemand	Passion ch de Croix			SATB				XIX	41					0	VRAI
Richte mich, Gott	MENDELSSOHN F.	41		allemand				SSAATTBB		Psaume 43		XIX	41		opus 78			0	VRAI
Was betrübst du dich	MENDELSSOHN F.	41		allemand				SATB		Psaume 42		XIX	41		piano			0	VRAI
Aimer, il suffit d'aimer	LEFEBVRE	42		français		Communion	D 600	SATB				XX	42					0	VRAI
Je te cherche, Dieu	CHEMIN NEUF	42		français		Rassemblement		SATB				XX	42					0	VRAI
Une lumière brillera sur vous	LEBRUN	42		français	Avent			Unisson					42		piano			0	VRAI
Bénis soient la coupe et le pain	ANONYME	43		français		Communion		Unisson					43					0	VRAI
Celui qui a mangé de ce pain	GODARD Marcel	43		français		Communion	D140	SATB/TBarB					43					0	VRAI
C'est toi, Seigneur le pain rompu	KIRBYE	43		français		Communion	D293	SATBetSA					43					0	VRAI
Le pain dans nos mains	COLOMBIER Noël	43		français		Communion	D 520	SAB					43					0	VRAI
Nous qui mangeons le pain	CRUGER	43		français		Communion	D 215	SATB				XVII	43					0	VRAI
Quel est donc ce repas	AKEPSIMAS	43		français		Communion	D 228	Unisson					43					0	VRAI
Couronnée d'étoiles	EMMANUEL	44		français	Chant marial			SATB					44					0	VRAI
Toi qui ravis le coeur de Dieu	BERTHIER, Jacques	44		français	chant marial		VLH 136	SATet SAB					44					0	VRAI
Vous êtes sans pareille	GELINEAU	44		français	Chant marial		V 10	SATB					44					0	VRAI
O nata  lux de lumine..	TALLIS	45		latin	Noël			SATTB					45					0	VRAI
This Little Light of Mine	LOES Harry Dixon	45		anglais				Unisson		gospel pour voix d'enfants			45					0	VRAI
Thou oh Lord	IRELAND Lisa	45		anglais				SATB		gospel pour voix d'enfants			45					0	VRAI
"Cantate 118 ""O Jesu Christ"".."	BACH Johann Sebastian	46		allemand				SATB		Cantate 118			46					0	VRAI
Choral de la Cantate 142	BACH Johann Sebastian	46		allemand				SATB		Cantate 142			46					0	VRAI
Cantate Domino	HAENDEL	47		latin				SATBet SSA		Louange			47					0	VRAI
Canticorum jubilo	HAENDEL	47		latin		 		SATB		Louange			47					0	VRAI
Singt Herrn ein neues Lied 	HAENDEL	47		allemand	Pâques			Unisson		Canticorum			47					0	VRAI
Choral final n°48 de la Passion selon St Jean	BACH, Johann Sebastian	48		français/allemand	Passion			SATB		Passion selon St Jean			48					0	VRAI
Mon âme a soif de toi ,mon Dieu	SCHUTZ	48		français				SATB		Psaume 62			48					0	VRAI
Passion selon St Jean choral final n°68	BACH	48		allemand	Passion			SATB		Passion			48					0	VRAI
Aria Duetto, Cantate 78	BACH Johann Sebastian	49						4VM		Cantate 78			49					0	VRAI
Cantate 140 - Wachet auf, ruft uns die Stimme-	BACH Johann Sebastian	49		allemand				4VM		Cantate 140 prélude			49					0	VRAI
Cantate 140 -Zion hört die Wächter singen-	BACH Johann Sebastian	49		allemand				Unisson		Cantate 140 choral			49					0	VRAI
"Cantate n°4 ""Christ Lag In Todesbanden"""	BACH	49		allemand/anglais				SATB		Cantate 4			49					0	VRAI
