Richte mich, Gott	MENDELSSOHN F.	41		allemand				SSAATTBB		Psaume 43		XIX		opus 78	
Was betrübst du dich	MENDELSSOHN F.	41		allemand				SATB		Psaume 42		XIX		piano	
Aimer, il suffit d aimer	LEFEBVRE	42		français		Communion	D 600	SATB				XX			
Je te cherche, Dieu	CHEMIN NEUF	42		français		Rassemblement		SATB				XX			
Une lumière brillera sur vous	LEBRUN	42		français	Avent			Unisson						piano	
Bénis soient la coupe et le pain	ANONYME	43		français		Communion		Unisson							
Celui qui a mangé de ce pain	GODARD Marcel	43		français		Communion	D140	SATB/TBarB							
C est toi, Seigneur le pain rompu	KIRBYE	43		français		Communion	D293	SATBetSA							
Le pain dans nos mains	COLOMBIER Noël	43		français		Communion	D 520	SAB							
Nous qui mangeons le pain	CRUGER	43		français		Communion	D 215	SATB				XVII			
Quel est donc ce repas	AKEPSIMAS	43		français		Communion	D 228	Unisson							
Venez vous abreuver	JONCHAY du Jean Baptiste	43		français		Communion		SATB							
Couronnée d étoiles	EMMANUEL	44		français	Chant marial			SATB							
Toi qui ravis le coeur de Dieu	BERTHIER, Jacques	44		français	chant marial		VLH 136	SATet SAB							
Vous êtes sans pareille	GELINEAU	44		français	Chant marial		V 10	SATB							
O nata  lux de lumine..	TALLIS	45		latin	Noël			SATTB							
This Little Light of Mine	LOES Harry Dixon	45		anglais				Unisson		gospel pour voix d enfants					
Thou oh Lord	IRELAND Lisa	45		anglais				SATB		gospel pour voix d enfants					
"Cantate 118 ""O Jesu Christ"".."	BACH Johann Sebastian	46		allemand				SATB		Cantate 118					
Choral de la Cantate 142	BACH Johann Sebastian	46		allemand				SATB		Cantate 142					
Cantate Domino	HAENDEL	47		latin				SATBet SSA		Louange					
Canticorum jubilo	HAENDEL	47		latin		 		SATB		Louange					
Singt Herrn ein neues Lied 	HAENDEL	47		allemand	Pâques			Unisson		Canticorum					
Choral final n°48 de la Passion selon St Jean	BACH Johann Sebastian	48		français/allemand	Passion			SATB		Passion selon St Jean					
Mon âme a soif de toi ,mon Dieu	SCHUTZ	48		français				SATB		Psaume 62					
Passion selon St Jean choral final n°68	BACH Johann Sebastian	48		allemand	Passion			SATB		Passion					
Aria Duetto, Cantate 78	BACH Johann Sebastian	49						4VM		Cantate 78					
Cantate 140 - Wachet auf, ruft uns die Stimme-	BACH Johann Sebastian	49		allemand				4VM		Cantate 140 prélude					
Cantate 140 -Zion hört die Wächter singen-	BACH Johann Sebastian	49		allemand				Unisson		Cantate 140 choral					
"Cantate n°4 ""Christ Lag In Todesbanden"""	BACH Johann Sebastian	49		allemand/anglais				SATB		Cantate 4					
"Cantate n°4 (versus II) ""Den Tod…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
"Cantate n°4 (versus VII) ""Wir essenun d wir…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
Choral final cantate 4  versets II et VII	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
"Choral final Cantate 78 ""Herr, ich glaube"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 78					
Wachet auf, ruft uns die Stimme 	BACH Johann Sebastian	49		allemand				3VM		Cantate 140 Prélude					
Zion hört die Wächter singen - Cantate 140	BACH Johann Sebastian	49		allemand				unisson		Cantate 140 Choral BWV645	Poésie allemande			orgue	
Credo I	Anonyme	50		latin		Credo		Unisson							
Credo III (notation Gregorienne)	ANONYME	50	grégorien			Credo		Unisson							
Credo III (notation moderne)	ANONYME	50		latin		Credo		Unisson							
Credo III + Et Incarnatus Josquin des Prés	ANONYME	50		latin		Credo		Unisson							
Credo III + Et Incarnatus Roland de Lassus	ANONYME	50		latin		Credo		Unisson							
Credo IV	ANONYME	50		latin		Credo		Unisson							
Nous croyons en Dieu	GELINEAU J.	50		français		Credo		Unisson							
Cantique Populaire Noël d Enfants	FAURE	51		français	Noël			Unisson		Noël					
Gloria de Noël	SPERLING Oliver	51		latin	Noël			SATB		Gloria de Noël					
La Vierge à la crèche	FRANCK César	51		français	Noël			SA		Noël					
We wish you a merry Christmas	HUGUES Donald	51		anglais	Noël			SA		Noël					
Tantum ergo	VIERNE	52		latin	St Sacrement			SATB							
Un nouveau matin se lève	DAVIDICA	52		français	Pâques		I 180	SATB							
Lauda Sion 	ANONYME	53	grégorien					Unisson		Séquence St Sacrement					
Laudate populi	HAYDN Michael	53		latin				SATB		MH 792 Louange					
Vers ton autel	LEMOINE P.	53		français		Communion		SATB							
Bénis le Seigneur ô mon âme	EMMANUEL	54		français		Louange		SATB							
Jubilez, criez de joie, acclamez le Dieu 3 fois Saint	Fr de la Ste FAMILLE	54		français	Rassemblement			SATB							
Ne crains pas	BAPTISTE Jean Frère	54		français				SATB		d après Isaïe 43					
Qu exulte tout l univers	EMMANUEL	54		français		Louange		SATB							
Ban moin un tibo	GAUFFRIAU	55		créole				SSA			chanson créole tradi				
Canço a la Verge = Cantique à la Viergge	CASALS, Pau	55		espagnol				Unisson		Chant marial					
Cantem tots la Gloria	ANONYME	55		catalan				SA			#N/D				
Cantique à la Vierge = Canço a la Verge	CASALS Pau	55		espagnol				Unisson		Chant marial					
Chaque enfant est une étoile	VALENTIN Marie-Louise	55		français		la beauté de l enfant		Unisson							
Cielito Lindo	ANONYME	55		espagnol				SSA			chanson pop Mexique				
Come faro cor moi	MONTEVERDI	55		italien				SSA		cansonnette 					
EL cant dels ocells	ANONYME	55		catalan				SSAA			chant pop catalan				
El rossignyol		55		catalan				SATB			chant pop catalan				
"Valse ""Le beau Danube bleu"""	STRAUSS	55		allemand				SSA		Le beau Danube bleu					
Frühlingslied	LISZT Franz	56		allemand				SMSA			Chanson de Printemps				
"Messe ""Iste confessor"""	PALESTRINA	56		latin		Messe		SATB							
Bonum est confidere                        	BERTHIER Jacques	57		latin				SA		Méditation					
Cantique du soleil	GODARD Marcel	57		français	St François d Assises			SATB		Cantique					
Frère François	Vincent Jean-Marie	57		français	St François d Assises			SAB		Chant de méditation St F.d Assises					
L Adieu des Bergers à la Sainte Famille	BERLIOZ Hector	57		français				SATB		l Enfance du Christ					
Marie pleine de Grâce	GOUZES	57		français		chant marial		SAB		Musique de Marghieri					
Nous te chantons Seigneur pour François….	WACKENHEIM	57		latin	St François d Assises			Unisson		St François d Assises					
"Kyrie ""orbis factor"""	VICTORIA, Tomás Luis de	58		latin		Kyrie		SATB							
Litanies de la Très Sainte Vierge	MESSERER H.	58		latin				SA		Litanies 			orgue		
Ave Maria	FAURE	59		latin		chant marial	V	TTB							
Ave Maria 	CHIHARA Paul	59		latin		chant marial	V	TTBaryBary BB					piano		
Las! En mon doux printemps	STUART Marie	60		français				SATB			"""Echo du temps passé"""				
Ave Maria de Lourdes	ANONYME	61		français		chant marial	V	SA							
Dans tout l univers, l Eternel est Roi	GOUDIMEL	61		français				SATB		psaume 99					
Du fond de ma pensée	LASSUS	61		français				SATB		psaume 130					
Jésus en croix (vendredi saint)	GODARD Marcel	61		français	Vendredi saint			SAB							
O croix dressée sur le monde	SERVEL	61		français	Passion		H 30	SATB							
Sous l habit du mendiant	ROZIER	61		français	Passion		H 18	Unisson			ext Come ye sons art				
Victoire	JULIEN Abbé David	61		français	Passion		H 32	SATB							
De mon coeur a jailli	JEF, Robert	62		français		Consécration		SATB							
Dieu qui nous appelle à vivre	AKEPSIMAS	62		français	Pentecôte		K158	SATB							
J  aime le Seigneur	BERTHIER, Jacques	62		français		Psaume		Unisson							
J ai vu des fleuves d eau vive	WITTAL	62		français	Pâques 	Aspersion	I	SATB							
J ai vu l eau vive	BERTHIER, Jacques	62		français	Pâques	Aspersion	I 132-1	Unisson							
J ai vu l eau vive	GODARD Marcel	62		français	Pâques	Aspersion	I	Unisson							
J ai vu l eau vive	ROBERT Philippe	62		français	Pâques	Aspersion	I 18-64-1	Unisson					orgue		
Messe Petite = Petite Messe	AKEPSIMAS	62		français		Messe	AL 179	SATB							
Petite messe = Messe Petite	AKEPSIMAS	62		français		Messe	AL 179	SATB							
Chez nous soyez Reine	HUET Abbé	63		français		chant marial		SA							
