Canticorum jubilo	HAENDEL Georg Friedrich	47		latin		 		SATB		Louange					
Singt Herrn ein neues Lied 	HAENDEL Georg Friedrich	47		allemand	Pâques			Unisson		Canticorum					
Choral final n°48 de la Passion selon St Jean	BACH Johann Sebastian	48		français/allemand	Passion			SATB		Passion selon St Jean					
Passion selon St Jean choral final n°68	BACH Johann Sebastian	48		allemand	Passion			SATB		Passion					
Mon âme a soif de toi ,mon Dieu	SCHÜTZ Heinrich	48		français				SATB		Psaume 62					
Aria Duetto, Cantate 78	BACH Johann Sebastian	49						4VM		Cantate 78					
Cantate 140 - Wachet auf, ruft uns die Stimme-	BACH Johann Sebastian	49		allemand				4VM		Cantate 140 prélude					
Cantate 140 -Zion hört die Wächter singen-	BACH Johann Sebastian	49		allemand				Unisson		Cantate 140 choral					
"Cantate n°4 ""Christ Lag In Todesbanden"""	BACH Johann Sebastian	49		allemand/anglais				SATB		Cantate 4					
"Cantate n°4 (versus II) ""Den Tod…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
"Cantate n°4 (versus VII) ""Wir essenun d wir…"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
Choral final cantate 4  versets II et VII	BACH Johann Sebastian	49		allemand				SATB		Cantate 4					
"Choral final Cantate 78 ""Herr, ich glaube"""	BACH Johann Sebastian	49		allemand				SATB		Cantate 78					
Wachet auf, ruft uns die Stimme 	BACH Johann Sebastian	49		allemand				3VM		Cantate 140 Prélude					
Zion hört die Wächter singen - Cantate 140	BACH Johann Sebastian	49		allemand				unisson		Cantate 140 Choral BWV645	Poésie allemande			orgue	
Credo I	ANONYME	50		latin		Credo		Unisson							
Credo III (notation Gregorienne)	ANONYME	50	grégorien			Credo		Unisson							
Credo III (notation moderne)	ANONYME	50		latin		Credo		Unisson							
Credo III + Et Incarnatus Josquin des Prés	ANONYME	50		latin		Credo		Unisson							
Credo III + Et Incarnatus Roland de Lassus	ANONYME	50		latin		Credo		Unisson							
Credo IV	ANONYME	50		latin		Credo		Unisson							
Nous croyons en Dieu	GELINEAU Joseph	50		français		Credo		Unisson							
Cantique Populaire Noël d Enfants	FAURE Gabriel	51		français	Noël			Unisson		Noël					
La Vierge à la crèche	FRANCK César	51		français	Noël			SA		Noël					
We wish you a merry Christmas	HUGUES Donald	51		anglais	Noël			SA		Noël					
Gloria de Noël	SPERLING Oliver	51		latin	Noël			SATB		Gloria de Noël					
Un nouveau matin se lève	DAVIDICA	52		français	Pâques		I 180	SATB							
Tantum ergo	VIERNE	52		latin	St Sacrement			SATB							
Lauda Sion 	ANONYME	53	grégorien					Unisson		Séquence St Sacrement					
Laudate populi	HAYDN Michael	53		latin				SATB		MH 792 Louange					
Ne crains pas	BAPTISTE Jean Frère	54		français				SATB		d après Isaïe 43					
Jubilez, criez de joie, acclamez le Dieu 3 fois Saint	Fr de la Ste FAMILLE	54		français	Rassemblement			SATB							
Bénis le Seigneur ô mon âme	L'EMMANUEL	54		français		Louange		SATB							
Qu exulte tout l univers	L'EMMANUEL	54		français		Louange		SATB							
El rossignyol	 MOYA Perez	55		catalan				SATB			chant pop catalan				
Cantem tots la Gloria	ANONYME	55		catalan				SA			chant pop catalan				
Cielito Lindo	ANONYME	55		espagnol				SSA			chanson pop Mexique				
EL cant dels ocells	ANONYME	55		catalan				SSAA			chant pop catalan				
Canço a la Verge = Cantique à la Viergge	CASALS Pau	55		espagnol		chant marial		Unisson							
Cantique à la Vierge = Canço a la Verge	CASALS Pau	55		espagnol				Unisson		Chant marial					
Ban moin un tibo	GAUFFRIAU	55		créole				SSA			chanson créole tradi				
Come faro cor moi	MONTEVERDI Claudio	55		italien				SSA		cansonnette 					
