Venez divin Messie;NEYRAT/LOUPPE;351;;français;Avent Noël;;;SAB;;;Noël;;;
Venez divin Messie traditionnel;ANONYME;351;;français;Avent Noël;;;Unisson;;;;;;
Venez mes enfants;GEOFFRAY César;191;;français;Avent, Noël;;;Solo/4VM;;;;;;
Acclamation et Ronde des Enfants;GOUZES André;227;;français;Baptême;;;Unisson;;;;;;
Pange lingua ;ANONYME;469;grégorien;;Bén.St Sacrement;;;Unisson;;;;;;
Mon Bien-aimé est une grappe de cypre;GODARD Marcel;527;;français;;Cantique des C;;SATB;;;Cantique des cantiques;;;
Comme le pommier parmi les arbres;GODARD Marcel;527;;français;;Cantique des C n°1;;SmSA;;;Cantique des cantiques;;;
Je vous en conjure,filles de Jerusalem;GODARD Marcel;527;;français;;Cantique des C. n°2;;SATB;;;Cantique des Cantiques;;;
Cantique des Cantiques;GODARD Marcel;527;;français;;Cantique des cantiques;;VE;;;Cantique;;;
Je dors, mais mon coeur veille;GODARD Marcel;527;;français;;Cantiques des C n°3;;SSA;;;Cantique des Cantiques;;;
Attende Domine;ANONYME ;472;grégorien;;Carême;;;Unisson;;;"""Ecoutez ns Seigneur et ayez pitié...""";;X;
Audi Benigne Conditor;BOURNONVILLE de Jean;231;;latin;Carême;;;SATB;;;;;;
Avec Toi, nous irons au désert;GELINEAU Joseph;472;;français;Carême;Entrée;G 229;SAB;;;;;;
C est pour nous que le Christ a souffert;GELINEAU Joseph;105;;français;Carême;;H;SAB;;;Cantique de St Pierre;;;
Cantique de Saint Pierre;GELINEAU Joseph;321;;français;Carême;;;Unisson;;;Cantique;;;
Changez vos coeurs;LECOT Jean-Paul;294;;français;Carême;;G 162;SATB;;;;;;
Chemin de Pâques;DIEUAIDE Jean-Michel;531;;français;Carême;;;SAB;;;;;;
Dieu est à l oeuvre en cet âge;SHAW;64;;français;Carême;;T 50;SATB;;;;;;
Emmène-nous;BOLDRINI Léandre;355;;français;Carême;;G 308;SATB;;;;;;
En quels pays de solitude;GELINEAU Joseph;410;;français;Carême;;G 184;Unisson;;orgue;;;;
En Toi, Seigneur;SAINT-SEVERIN;131;;français;Carême;;;SATB;;;;;;
En toi, Seigneur, mon espérance;JEF Robert;131;;français;Carême;;G7;SATB;;;;;;
En toi, Seigneur, mon espérance;SCHOLEFIELD C.C.;131;;français;Carême;;;SATB;;;;;;
Entends crier , Seigneur,notre misère;GAND;499;;français;Carême;;;SATB;;orgue;;;;
Ich weiss dass mein Erlöse lebt;BACH Johann Michael;382;;allemand;Carême;;;SATB;;orgue+violon;;;;
Je partirai avant le jour;ROBERT Philippe;273;;français;Carême;;;Unisson;;;;;;
Je suis solitaire;AKEPSIMAS Jo;131;;français;Carême;;G 116-2;SATB;;;;;;
