"Alleluia O Filii et filiae"	"BLITSCH"	12		"latin"	"Pâques"	"Alleluia"		"SATB"								
"Alleluia Pascal "	"LOUPPE Thibaut"	12			"Pâques"	"Alleluia"		"SATB"								
"Alleluia U45-19"	"LAMON"	12		"hébreux"		"Alleluia"		"SATB"		"orgue"						
"Alleluia.huit jours déjà"	"ROUCAIROL"	12			"Pâques"	"Alleluia"		"SATB"			"contre chant trompette"					
"Alle Jahre wieder "	"ANONYME"	13		"letton"		"Alleluia"		"SAAB"								
"Alleluia"	"BUCHER Nicolas"	13		"français"		"Alleluia"		"SATB"								
"Alleluia"	"DOPF Hubert"	13		"français"	"Pâques"	"Alleluia"		"SATB"								
"Alleluia"	"LOUPPE Thibaut"	13		"hébreu"		"Alleluia"		"Unisson"								
"Alleluia"	"REINTHALER Anton"	13		"hébreu"		"Alleluia"		"SSATBB"								
"Alleluia"	"RONCIN Chanoine"	13		"hébreu"		"Alleluia"		"Unisson"							"#N/D"	
"Alleluia 5"	"DECHA"	13		"français"		"Alleluia"		"SATB"								
"Alleluia Canon"	"ANONYME"	13		"français"		"Alleluia"		"SSS"	"o"							
"Alleluia de St Augustin"	"ROUX Jean-Jo"	13		"hébreux"		"Alleluia"		"SAB"								
"Alleluia letton ""Alle Jahre wieder"""	"ANONYME"	13		"letton"		"Alleluia"		"SSAA"								
"Aube nouvelle"	"AKEPSIMAS Jo"	14		"français"	"Avent"		"E 130"	"SATB"								
"Le monde ancien s en est allé"	"GELINEAU Joseph"	14		"français"	"Avent"	"Entrée"	"E 135"	"SATB"								
"Psaume de la création"	"RICHARD Patrick"	14		"français"		"psaume de la création"		"Sol+SATB"								
"Viens Seigneur ne tarde plus"	"GOUZES André"	14		"français"	"Avent"			"SATB"					"XX"			
"Gaude Mater Polonia"	"ANONYME"	15		"latin"		"Chant marial"		"SATB"					"XIII"			
"Humble servante"	"BERTHIER Jacques"	15		"français"	"Chant marial"		"V248-1"	"SATB"								
"Notre Dame Lumière"	"ANONYME"	15		"français "	"Chant marial Tchèque"			"Unisson"							"D après Tece Voda Tece"	
"Messe en D (ré) "	"DVORAK Anton"	16		"latin"		"Kyrie et Gloria"		"SATB"								
"Agneau de Pâques, Agneau de Dieu"	"BERTHIER Jacques"	17		"français"	"Pâques"	"Agnus Dei"		"SATB"					"XX"			
"Christus factus est"	"HAYDN Michael"	17		"latin"	"Jeudi saint"	"Graduel"		"SATB"			"Motet"					
"Kyrie , Jésus de Nazareth "	"BERTHIER Jacques"	17		"français"		"Kyrie"		"SATB"								
"Motets pour le temps de Carême:""Vinae mea electa"""	"POULENC Francis"	17		"latin"	"Carême"			"SAATBB"			"Motet"		"XX"			
"Vinea mea electa "	"POULENC Francis"	17		"latin"	"Carême"			"SAATBB"			"Motet (pr le tps de Pénitence)"		"XX"		"ac. Piano"	
"Entre le boeuf et l âne gris"	"ANONYME"	18		"français"	"Noël"			"SS/AA"					"XIII"		"harmJ.Bouvard"	
"Les anges dans nos campagnes"	"DAMON"	18		"français"	"Noël"			"SATB"								
"Les anges dans nos campagnes"	"SALA André"	18		"français"	"Noël"			"SSA"								
"Les anges dans nos campagnes "	"NEYRAT"	18		"français"	"Noël languedocien"			"SATB"								
"Silence,ciel"	"SALA André"	18		"français"	"Noël"			"SSA"								
"Die zwei Tugendwege"	"SCHILLER"	19		"allemand"				"TTB"			"Les 2 voies de la vertu"					
"Jacob s ladder"	"ANONYME"	19		"anglais"				"SSA"				"Negro spiritual"				
"La mémoire d Abraham"	"GOLDMAN Jean-Jacques"	19		"français"				"SATB"				"chant "			"harmH.Dumas"	
"Little David"	"ANONYME"	19		"anglais/français"				"SSA"				"Negro spiritual"				
"Hodie Christus natus est"	"POULENC Francis"	20		"latin"	"Noël"			"SATB"								
"O magnum mysterium"	"POULENC Francis"	20		"latin"	"Noël"			"SATB"								
"Ah! Le tango Corse"	"VASTANO R."	21										"chanson populaire"				
"Symphonie Nr.3"	"MAHLER Gustav"	21		"allemand"							"chœur n°5 "		"XIX"			
"Alta trinita beata"	"ANONYME"	22		"latin"	"Trinité "			"SATB"					"XV"			
"Lo ti voria contar"	"LASSUS Orlando de"	22		"italien"				"SATB"				"chanson italienne"				
"O Père, O Tout-Puissant"	"GODARD Marcel"	22		"français"	"Trinité "			"SATB"			"Extrait des Combats de dieu"					
"Salut, ô Reine"	"GODARD Marcel"	22		"français"		"chant marial"		"S"								
"Toi,notre Dame"	"WACKENHEIM Michel"	22		"français"	"Chant marial"		"V 153"	"SATB"								
"Très-Haut Seigneur, Trinité bienheureuse"	"GOUZES André"	22		"français"	"Trinité "		"SY Z 700"	"SATB"								
"Auxilium Christianorum"	"DELSINNE"	23		"latin"				"SSA"							"litanies"	
"Ave verum"	"DUPRE Marcel"	23		"latin"		"Motet St Sacrement"		"SATB"								
"Ave Verum "	"ANONYME"	23	"grégorien"					"Unisson"								
"Ave Verum"	"MOZART Wolfgang Amadeus"	24		"latin"		"Motet St Sacrement"		"SATB/SSA"		"O6"						
"Ave Verum (version quatuor) k618"	"MOZART Wolfgang Amadeus/LECOT"	24		"latin"		"Motet St Sacrement"		"SATB"								
"Gloria de Angelis =des Anges=VIII"	"ANONYME"	25		"latin"		"Gloria"		"Unisson/SA/SATB"								
"Kyrie XII (Pater Cuncta) grégorien"	"ANONYME"	25	"grégorien"			"Kyrie"		"Unisson"								
"Messe des Anges VIII"	"ANONYME"	25	"grégorien"			"Messe VIII"		"Unisson"								
"Tu es Petrus"	"BACH Johann Sebastian"	25		"latin"				"SATB"								
"Ave Verum Corpus"	"JOSQUIN DES PRES"	26		"latin"		"Motet St Sacrement"		"SABar"								
"Processionnal de Saint Benigne de Dijon"	"SAMSON Joseph"	26		"français"				"Unisson"			"Procession d entrée"					
"Ecoutez la voix des anges"	"MENDELSSOHN Felix"	27		"français"	"Noël"			"SA"		"O70"						
"La prière du Pâtre"	"BOVET Joseph"	27		"français"				"SATB"				"chanson française"				
"Amour qui nous attends"	"TAMIE"	28		"français"	"Avent"	"Tropaire"	"E173-1"	"Unisson"								
"Joyeuse est la terre"	"TAMIE"	28		"français"	"Dimanche ap.Asc"	"Tropaire"	"K146-1"	"Unisson"								
"Ijé Khérouvimy"	"BORTNIANSKY Dimitri"	29		"russe"	"Trinité"			"SATB"								
"Nynié Otpouchtchaiéchy"	"LIRINE"	29		"russe"				"SATB"			"Cantique de Siméon russe"					
"Snami Bog"	"ANONYME"	29		"bulgare"				"SATB"			"chant orthodoxe russe"		"XIX"			"Dieu est avec nous"
"Offertoire pour la fête de Ste Clothilde"	"FRANCK César"	30		"latin"		"Offertoire"		"STB"					"XX"		"orgue"	
"Offertoire pour les 1° dimanches du mois"	"FRANCK César"	30		"latin"		"Offertoire"		"STB"					"XX"			
"Offertoirepour les fêtes de l Assomption"	"FRANCK César"	30		"latin"	"Assomption"	"Offertoire"		"TB"					"XX"			
"Offertorium"	"BRUCKNER Anton"	30		"latin"		"Offertoire"		"SATB"					"XIX"			
"Super Flumina Babylonis (psaume 136)"	"VAN NUFFEL"	30		"latin"		"Psaume 136"		"SATB"							"opus 25"	
"Domine non secundum"	"FRANCK César"	31		"latin"	"Pénitence"			"STB/SATB"			"chant sacré"		"XX"		"orgue"	
"Gaude Mater"	"BARTOLUCCI Dominico"	32		"latin"		"chant marial"		"SSA"					"XX"		"piano"	
"Gaudete"	"ANONYME"	32		"latin"	"Noël"			"SATB"								
"O Maria"	"BERTOLUCCI"	32		"latin"	"chant marial"			"Solo+1V"					"XX"		" piano"	
"Ottchié nach"	"TCHAIKOWSKY Piotr Ilitch"	32		"russe"		"Notre Père "		"SATB"					"XIX"			
"Ottchié nach "	"RIMSKY KORSAKOV Nicolai"	32		"russe"		"Notre Père"		"SATB"					"XIX"		"opus 22n°7"	
"Lumière du monde"	"GODARD Marcel"	33		"français"	"Pâques"		"I 77-3"	"Unisson"					"XX"			
"Diffusa est gratia"	"SPERLING Oliver"	34		"latin"		"Offertoire Ps 44"		"SSAetSATB"					"XX"			
"Magnificat"	"PEETERS Flor"	34		"latin"		"Magnificat"		"SATB"					"XX"		"opus 108"	
"Surrexit pastor bonus"	"MENDELSSOHN Felix"	35		"latin"				"SSAA"			"Motet"		"XIX"		"opus 39n°3 orgue"	
"Au Christ - eucharistie"	"BACH Johann Sebastian"	36		"français"		"Communion"		"SATB"					"XVIII"			
"Beati qui habitant in domo tua"	"RAMEAU Jean Philippe"	36		"latin"				"Bar + SATB"			"Motet au St Sacrement"		"XVIII"			
"Gloire à Dieu "	"MOUSSORGSKY Modeste"	36		"français"		"Gloria"		"SATB"					"XIX"			
"Loué soit ton nom, vrai Dieu"	"GOUDIMEL"	36		"français"	"Louange"			"SATB"					"XVI"			
"Notre Père"	"RIMSKY KORSAKOV Nicolai"	37		"français"		"Notre Père"		"SATB"					"XIX"			
"Hymne acathiste tradition slave"	"ANONYME"	38		"français"			"VP46-52"	"SATB"			"Tradition slave"					
"O Jesu Christe"	"VAN BERCHEM"	38		"latin"	"Carême"			"SATB"					"XVI"			"O Seigneur prends pitié de moi"
"Jésus sauveur, kyrie eleison"	"DANIEL Etienne"	39		"français"		"Kyrie"		"Unisson"								
"Ma lumière et mon salut"	"VILLENEUVE Ch."	39		"français"		"Psaume 26"	"ZL14-76"	"SATB"								
"Agneau de Dieu AL145"	"MOZART Wolfgang Amadeus"	40		"français"		"Agnus Dei"		"SATB"								
"Agneau de Dieu, conduis nos pas"	"TARENTE de Olivier"	40		"français"		"Agnus Dei"	"I 310"	"SATB"								
"Agneau de Dieu, pauvre de Dieu"	"AKEPSIMAS Jo"	40		"français"		"Agnus Dei"		"SATB"								
"Agnus Dei de Pentecôte"	"ANONYME"	40		"latin"	"Pentecôte"	"Agnus Dei"		"SATB"								
"Cette parole de l écriture"	"LEFEBVRE Georges"	40		"français"	"Pentecôte"			"Unisson"								
"Tochter Zion, freue dich"	"HAENDEL Georg Friedrich"	40		"allemand"	"Avent"			"SATB"			"Hymne de l Avent"		"XVIII"			
"O Haupt voll Blut und Wunden "	"MENDELSSOHN Felix"	41		"allemand"	"Passion ch de Croix"			"SATB"					"XIX"			
"Richte mich, Gott"	"MENDELSSOHN Felix"	41		"allemand"				"SSAATTBB"			"Psaume 43"		"XIX"		"opus 78"	
"Was betrübst du dich"	"MENDELSSOHN Felix"	41		"allemand"				"SATB"			"Psaume 42"		"XIX"		"piano"	
"Aimer, il suffit d aimer"	"LEFEBVRE Georges"	42		"français"		"Communion"	"D 600"	"SATB"					"XX"			
"Je te cherche, Dieu"	"CHEMIN NEUF"	42		"français"		"Rassemblement"		"SATB"					"XX"			
"Une lumière brillera sur vous"	"LEBRUN E."	42		"français"	"Avent"			"Unisson"							"piano"	
"Bénis soient la coupe et le pain"	"ANONYME"	43		"français"		"Communion"		"Unisson"								
"C est toi, Seigneur le pain rompu"	"KIRBYE"	43		"français"		"Communion"	"D293"	"SATB/SA"								
"Celui qui a mangé de ce pain"	"GODARD Marcel"	43		"français"		"Communion"	"D140"	"SATB/TBarB"								
"Le pain dans nos mains"	"COLOMBIER Noël"	43		"français"		"Communion"	"D 520"	"SAB"								
"Nous qui mangeons le pain"	"CRUGER J."	43		"français"		"Communion"	"D 215"	"SATB"					"XVII"			
"Quel est donc ce repas"	"AKEPSIMAS Jo"	43		"français"		"Communion"	"D 228"	"Unisson"								
"Venez vous abreuver"	"JONCHAY Jean Baptiste du"	43		"français"		"Communion"		"SATB"								
"Vers ton autel"	"LEMOINE Patrick"	43		"français"		"Communion"		"SATB"								
"Couronnée d étoiles"	"L'EMMANUEL"	44		"français"		"chant marial"		"SATB"								
"Toi qui ravis le coeur de Dieu"	"BERTHIER Jacques"	44		"français"	"chant marial"		"VLH 136"	"SAB/SAA"								
"Vous êtes sans pareille"	"GELINEAU Joseph"	44		"français"	"Chant marial"		"V 10"	"SATB"								
"O nata  lux de lumine.."	"TALLIS"	45		"latin"	"Noël"			"SATTB"								
"This Little Light of Mine"	"LOES Harry Dixon"	45		"anglais"				"Unisson"			"gospel pour voix d enfants"					
"Thou oh Lord"	"IRELAND Lisa"	45		"anglais"				"SATB"			"gospel pour voix d enfants"					
"Cantate 118 ""O Jesu Christ"".."	"BACH Johann Sebastian"	46		"allemand"				"SATB"		"O19"	"Cantate 118"					
"Choral de la Cantate 142"	"BACH Johann Sebastian"	46		"allemand"				"SATB"		"O21"	"Cantate 142"					
"Cantate Domino"	"HAENDEL Georg Friedrich"	47		"latin"		"Louange"		"SATB/SSA"								
"Canticorum jubilo"	"HAENDEL Georg Friedrich"	47		"latin"		" "		"SATB"			"Louange"					
"Singt Herrn ein neues Lied "	"HAENDEL Georg Friedrich"	47		"allemand"	"Pâques"			"Unisson"			"Canticorum"					
"Choral final n°48 de la Passion selon St Jean"	"BACH Johann Sebastian"	48		"français/allemand"	"Passion"			"SATB"			"Passion selon St Jean"					
"Mon âme a soif de toi ,mon Dieu"	"SCHÜTZ Heinrich"	48		"français"				"SATB"			"Psaume 62"					
"Passion selon St Jean choral final n°68"	"BACH Johann Sebastian"	48		"allemand"	"Passion"			"SATB"		"O49"	"Passion"					
"Aria Duetto, Cantate 78"	"BACH Johann Sebastian"	49						"SATB"			"Cantate 78"					
"Cantate 140 - Wachet auf, ruft uns die Stimme-"	"BACH Johann Sebastian"	49		"allemand"				"SS"		"orgue"	"Cantate 140 prélude"					
"Cantate 140 -Zion hört die Wächter singen-"	"BACH Johann Sebastian"	49		"allemand"				"Unisson"			"Cantate 140 choral"					
"Cantate n°4 ""Christ Lag In Todesbanden"""	"BACH Johann Sebastian"	49		"allemand/anglais"				"SATB"		"O17"	"Cantate 4"					
"Cantate n°4 (versus II) ""Den Tod…"""	"BACH Johann Sebastian"	49		"allemand"				"SATB"		"O17"	"Cantate 4"					
"Cantate n°4 (versus VII) ""Wir essenun d wir…"""	"BACH Johann Sebastian"	49		"allemand"				"SATB"		"O17"	"Cantate 4"					
"Choral final cantate 4  versets II et VII"	"BACH Johann Sebastian"	49		"allemand"				"SATB"			"Cantate 4"					
"Choral final Cantate 78 ""Herr, ich glaube"""	"BACH Johann Sebastian"	49		"allemand"				"SATB"			"Cantate 78"					
"Wachet auf, ruft uns die Stimme "	"BACH Johann Sebastian"	49		"allemand"				"SS"		"orgue"	"Cantate 140 Prélude"					
"Zion hört die Wächter singen - Cantate 140"	"BACH Johann Sebastian"	49		"allemand"				"unisson"			"Cantate 140 Choral BWV645"	"Poésie allemande"			"orgue"	
"Credo I"	"ANONYME"	50		"latin"		"Credo"		"Unisson"								
"Credo III (notation Gregorienne)"	"ANONYME"	50	"grégorien"			"Credo"		"Unisson"								
"Credo III (notation moderne)"	"ANONYME"	50		"latin"		"Credo"		"Unisson"								
"Credo III + Et Incarnatus Josquin des Prés"	"ANONYME"	50		"latin"		"Credo"		"Unisson"								
"Credo III + Et Incarnatus Roland de Lassus"	"ANONYME"	50		"latin"		"Credo"		"Unisson"								
"Credo IV"	"ANONYME"	50		"latin"		"Credo"		"Unisson"								
"Nous croyons en Dieu"	"GELINEAU Joseph"	50		"français"		"Credo"		"Unisson"								
"Cantique Populaire Noël d Enfants"	"FAURE Gabriel"	51		"français"	"Noël"			"Unisson"			"Noël"					
"Gloria de Noël"	"SPERLING Oliver"	51		"latin"	"Noël"			"SATB"			"Gloria de Noël"					
"La Vierge à la crèche"	"FRANCK César"	51		"français"	"Noël"			"SA"			"Noël"					
"We wish you a merry Christmas"	"HUGUES Donald"	51		"anglais"	"Noël"			"SA"			"Noël"					
"Tantum ergo"	"VIERNE"	52		"latin"		"St Sacrement"		"SATB"								
"Un nouveau matin se lève"	"DAVIDICA"	52		"français"	"Pâques"		"I 180"	"SATB"								
"Lauda Sion "	"ANONYME"	53	"grégorien"					"Unisson"			"Séquence St Sacrement"					
"Laudate populi"	"HAYDN Michael"	53		"latin"				"SATB"			"MH 792 Louange"					
"Bénis le Seigneur ô mon âme"	"L'EMMANUEL"	54		"français"		"Louange"		"SATB"								
"Jubilez, criez de joie, acclamez le Dieu 3 fois Saint"	"Fr de la Ste FAMILLE"	54		"français"	"Rassemblement"			"SATB"								
"Ne crains pas"	"BAPTISTE Jean Frère"	54		"français"				"SATB"			"d après Isaïe 43"					
"Qu exulte tout l univers"	"L'EMMANUEL"	54		"français"		"Louange"		"SATB"								
"Ban moin un tibo"	"GAUFFRIAU"	55		"créole"				"SSA"				"chanson créole tradi"				
"Canço a la Verge = Cantique à la Viergge"	"CASALS Pau"	55		"espagnol"		"chant marial"		"Unisson"								
"Cantem tots la Gloria"	"ANONYME"	55		"catalan"				"SA"				"chant pop catalan"				
"Cantique à la Vierge = Canço a la Verge"	"CASALS Pau"	55		"espagnol"				"Unisson"			"Chant marial"					
"Chaque enfant est une étoile"	"VALENTIN Marie-Louise"	55		"français"		"la beauté de l enfant"		"Unisson"								
"Cielito Lindo"	"ANONYME"	55		"espagnol"				"SSA"				"chanson pop Mexique"				
"Come faro cor moi"	"MONTEVERDI Claudio"	55		"italien"				"SSA"			"cansonnette "					
"EL cant dels ocells"	"ANONYME"	55		"catalan"				"SSAA"				"chant pop catalan"				
"El rossignyol"	" MOYA Perez"	55		"catalan"				"SATB"				"chant pop catalan"				
"Valse ""Le beau Danube bleu"""	"STRAUSS"	55		"allemand"				"SSA"			"Le beau Danube bleu"					
"Frühlingslied"	"LISZT Franz"	56		"allemand"				"SMSA"				"Chanson de Printemps"				
"Messe ""Iste confessor"""	"PALESTRINA"	56		"latin"		"Messe"		"SATB"								
"Bonum est confidere                        "	"BERTHIER Jacques"	57		"latin"				"SA"			"Méditation"					
"Cantique du soleil"	"GODARD Marcel"	57		"français"	"St François d Assises"			"SATB"			"Cantique"					
"Frère François"	"VINCENT Jean-Marie"	57		"français"	"St François d Assises"			"SAB"			"Chant de méditation St F.d Assises"					
